pais_codigo,pais_nombre,anio,crecimiento_pib_pct,pib_per_capita_usd,crecimiento_pib_pc_pct,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,pib_usd,fecha_extraccion,region,es_colombia
AR,Argentina,2000,-0.789,7637.0149,-1.9068,,15.0,10.9864,,284203750000.0,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2001,-4.4088,7141.4751,-5.4526,,17.32,11.579,,268696750000.0,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2002,-10.8945,2569.6996,-11.8423,,19.59,28.3826,,97724004251.8602,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2003,8.837,3320.4778,7.7184,,15.36,25.9309,,127586973492.177,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2004,9.0296,4242.021,7.9295,,13.522,23.8476,,164657930452.787,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2005,8.8517,5067.6534,7.739,,11.506,23.2459,,198737095012.282,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2006,8.0472,5869.3803,6.9419,,10.078,23.0267,,232557260817.308,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2007,9.0077,7185.2516,7.9326,,8.47,22.6628,,287530508430.568,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2008,4.0572,8944.1103,3.0086,,7.837,22.0609,,361558037110.419,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2009,-5.9185,8150.2353,-6.9103,,8.645,19.561,,332976484577.619,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2010,10.1254,10260.1313,8.9682,,7.714,18.9338,,423627422092.49,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2011,6.004,12704.2832,4.8813,,7.18,18.4492,,530158122010.442,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2012,-1.0264,12949.7175,-2.0383,,7.217,16.2379,,545982375701.128,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2013,2.4053,12963.6758,1.3935,,7.1,14.6172,,552025140252.246,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2014,-2.5126,12233.1444,-3.5133,,7.268,14.4055,,526319673731.638,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2015,2.7312,13679.6265,1.6609,,7.577,10.7057,,594749285413.212,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2016,-2.0803,12699.9623,-3.0245,,8.088,12.5271,,557532320662.955,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2017,2.8185,14532.5009,1.9164,,8.347,11.3203,,643628393281.364,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2018,-2.6174,11752.7999,-3.4155,34.2772,9.22,14.4367,,524819892360.176,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2019,-2.0009,9955.9748,-2.6951,53.5483,9.843,17.9249,,447754683615.225,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2020,-9.9005,8535.5994,-10.3361,42.0151,11.461,16.6054,,385740508436.965,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2021,10.4418,10738.0179,10.1486,48.4094,8.736,18.0667,,486564085480.036,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2022,6.0207,13962.1894,5.7975,72.4308,6.805,16.2817,,633993756301.08,2026-03-04T15:35:21.731026,América Latina,False
AR,Argentina,2023,-1.8558,14261.8466,-2.137,133.4889,6.139,12.8223,,649461687959.174,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2000,4.3879,3766.5479,2.9622,7.0441,10.889,10.188,12.4517,655448188259.351,2026-03-04T15:35:21.731026,América Latina,False
