ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Cali,Colombia,3.437,-76.523,20.6,20.4,61,14,Partly cloudy,2026-04-04 16:58:35,116
Cartagena,Colombia,10.400,-75.514,32.1,30.9,86,29,Sunny,2026-03-21 21:46:35,113
Cali,Colombia,3.437,-76.523,22.5,23.1,71,8,Overcast,2026-03-24 18:10:35,122
Medellin,Colombia,6.291,-75.536,24.7,24.7,61,12,Clear,2026-03-26 09:46:35,113
Cali,Colombia,3.437,-76.523,31.7,31.9,53,9,Sunny,2026-03-19 04:58:35,113
Cartagena,Colombia,10.400,-75.514,31.6,31.4,81,18,Patchy rain nearby,2026-03-24 03:46:35,176
Barranquilla,Colombia,10.964,-74.796,30.5,29.1,79,30,Patchy rain nearby,2026-03-22 22:58:35,176
Cartagena,Colombia,10.400,-75.514,33.8,33.1,81,23,Sunny,2026-03-18 14:34:35,113
Medellin,Colombia,6.291,-75.536,19.9,20.7,84,9,Patchy rain nearby,2026-04-01 16:58:35,176
Cali,Colombia,3.437,-76.523,24.4,23.7,70,21,Sunny,2026-03-22 12:10:35,113
Barranquilla,Colombia,10.964,-74.796,29.4,29.3,69,15,Clear,2026-03-19 19:22:35,113
Bogota,Colombia,4.600,-74.083,11.8,11.7,66,14,Sunny,2026-03-21 18:10:35,113
Barranquilla,Colombia,10.964,-74.796,31.1,30.2,72,23,Partly cloudy,2026-03-27 14:34:35,116
Barranquilla,Colombia,10.964,-74.796,31.9,30.5,67,27,Partly cloudy,2026-03-17 09:46:35,116
Bogota,Colombia,4.600,-74.083,8.8,7.9,67,22,Patchy rain nearby,2026-03-22 01:22:35,176
Medellin,Colombia,6.291,-75.536,27.4,28.3,74,6,Light rain,2026-03-14 09:46:35,296
Cali,Colombia,3.437,-76.523,31.5,31.0,65,18,Partly cloudy,2026-04-07 09:46:35,116
Cali,Colombia,3.437,-76.523,27.3,27.7,69,10,Patchy rain nearby,2026-03-28 08:34:35,176
Cali,Colombia,3.437,-76.523,20.7,20.7,73,15,Clear,2026-03-26 16:58:35,113
Cali,Colombia,3.437,-76.523,20.2,20.4,71,12,Overcast,2026-04-08 07:22:35,122
Cartagena,Colombia,10.400,-75.514,29.9,28.2,76,32,Light rain,2026-04-03 19:22:35,296
